# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.741217568516731262e-02 1.101744294166564941e+00 3.395247086882591248e-02 4.620533436536788940e-02 1.101744294166564941e+00 3.395247086882591248e-02
1.000000000000000000e+03 1.066769007593393326e-03 9.140317328274250031e-03 1.502732001245021820e-02 5.230329697951674461e-04 9.140317328274250031e-03 1.502732001245021820e-02
2.000000000000000000e+03 5.729866097681224346e-04 5.091152153909206390e-03 7.201872766017913818e-03 3.562288475222885609e-04 5.091152153909206390e-03 7.201872766017913818e-03
3.000000000000000000e+03 7.044706144370138645e-04 3.882286138832569122e-03 5.531161557883024216e-03 6.450461223721504211e-04 3.882286138832569122e-03 5.531161557883024216e-03
4.000000000000000000e+03 4.720971919596195221e-04 2.874751342460513115e-03 4.103455692529678345e-03 4.609009483829140663e-04 2.874751342460513115e-03 4.103455692529678345e-03
5.000000000000000000e+03 4.531369486358016729e-04 2.620938234031200409e-03 3.613567445427179337e-03 4.808496742043644190e-04 2.620938234031200409e-03 3.613567445427179337e-03
6.000000000000000000e+03 3.694166953209787607e-04 2.285633469000458717e-03 2.996200695633888245e-03 4.455296148080378771e-04 2.285633469000458717e-03 2.996200695633888245e-03
7.000000000000000000e+03 3.636140609160065651e-04 2.020807238295674324e-03 2.686557592824101448e-03 4.349557566456496716e-04 2.020807238295674324e-03 2.686557592824101448e-03
8.000000000000000000e+03 3.264929109718650579e-04 1.895133405923843384e-03 2.424296690151095390e-03 3.754595818463712931e-04 1.895133405923843384e-03 2.424296690151095390e-03
9.000000000000000000e+03 2.836845815181732178e-04 1.834577880799770355e-03 2.203130861744284630e-03 3.103640337940305471e-04 1.834577880799770355e-03 2.203130861744284630e-03
1.000000000000000000e+04 2.576357219368219376e-04 1.777459983713924885e-03 2.033416880294680595e-03 2.625916094984859228e-04 1.777459983713924885e-03 2.033416880294680595e-03
